target_name	target_accession	tlen	query_name	accession	qlen	E-value	score1	bias1	#	of	c-Evalue	i-Evalue	score	bias	hmmfrom	hmmto	alifrom	alito	envfrom	envto	acc	description_of_target	species
ERX33760.1	-	124	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	2.5e-05	38.9	0.0	1	1	6.8e-11	5.3e-05	37.9	0.0	10	124	12	118	5	122	0.85	hypothetical protein Q010_04093 [Pseudomonas aeruginosa 19660]	Pseudomonas aeruginosa 19660
QIF38677.1	-	124	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	2.5e-05	38.9	0.0	1	1	5.2e-11	4e-05	38.3	0.0	10	124	12	118	5	122	0.86	hypothetical protein WPAWT_04763 [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
KAG2173910.1	-	133	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	2.6e-05	38.9	0.0	1	1	3.9e-11	3e-05	38.7	0.0	13	127	24	131	14	133	0.90	hypothetical protein INT44_000023 [Umbelopsis vinacea]	Umbelopsis vinacea
WP_079987881.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	2.6e-05	38.9	0.0	1	1	7.3e-11	5.6e-05	37.8	0.0	10	124	14	120	7	124	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_078451127.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	2.6e-05	38.9	0.0	1	1	7.3e-11	5.6e-05	37.8	0.0	10	124	14	120	7	124	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_031760321.1	-	124	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	2.7e-05	38.8	0.0	1	1	7.8e-11	6.1e-05	37.7	0.0	10	124	12	118	5	122	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_171978680.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	2.7e-05	38.8	0.0	1	1	5.5e-11	4.3e-05	38.2	0.0	10	124	14	120	7	124	0.86	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_029611091.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	2.8e-05	38.8	0.0	1	1	8.3e-11	6.4e-05	37.6	0.0	10	124	14	120	7	124	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
HBO1217963.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	3e-05	38.7	0.0	1	1	9.2e-11	7.1e-05	37.5	0.0	10	124	14	120	7	124	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_263630944.1	-	124	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	3.1e-05	38.6	0.0	1	1	9e-11	7e-05	37.5	0.0	10	124	12	118	5	122	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_079978889.1	-	125	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	3.1e-05	38.6	0.0	1	1	8.3e-11	6.4e-05	37.6	0.0	10	124	14	119	7	123	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_228448871.1	-	169	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	3.1e-05	38.6	0.0	1	1	6.4e-11	4.9e-05	38.0	0.0	15	125	61	164	52	169	0.80	hypothetical protein [Chryseobacterium mulctrae]	Chryseobacterium mulctrae
WP_230636982.1	-	169	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	3.2e-05	38.6	0.0	1	1	6.4e-11	4.9e-05	38.0	0.0	15	125	61	164	52	169	0.80	hypothetical protein [Chryseobacterium sp. LC2016-29]	Chryseobacterium sp. LC2016-29
WP_128458322.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	3.3e-05	38.5	0.0	1	1	9.6e-11	7.4e-05	37.4	0.0	10	124	14	120	7	124	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_185146548.1	-	129	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	3.4e-05	38.5	0.0	1	1	6.4e-11	5e-05	38.0	0.0	11	124	15	121	6	127	0.85	hypothetical protein [Chryseobacterium bernardetii]	Chryseobacterium bernardetii
WP_212510279.1	-	145	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	3.7e-05	38.4	0.0	1	1	1.2e-10	9.1e-05	37.1	0.0	13	124	35	134	23	138	0.82	hypothetical protein [Aggregatibacter sp. oral taxon 513]	Aggregatibacter sp. oral taxon 513
BAZ32184.1	-	129	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	3.7e-05	38.4	0.0	1	1	1.3e-10	0.0001	36.9	0.0	17	124	21	121	13	126	0.80	hypothetical protein NIES4074_46860 [Cylindrospermum sp. NIES-4074]	Cylindrospermum sp. NIES-4074
WP_257621538.1	-	169	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	4.1e-05	38.2	0.0	1	1	8.5e-11	6.6e-05	37.6	0.0	15	125	61	164	52	169	0.81	hypothetical protein [Chryseobacterium sp. NKUCC03_KSP]	Chryseobacterium sp. NKUCC03_KSP
WP_049308968.1	-	124	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	4.3e-05	38.2	0.0	1	1	1.3e-10	9.8e-05	37.0	0.0	10	124	12	118	5	122	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_074228994.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	4.3e-05	38.1	0.0	1	1	1.2e-10	9.3e-05	37.1	0.0	10	125	14	121	7	126	0.84	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
HCE7029790.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	4.4e-05	38.1	0.0	1	1	1.8e-10	0.00014	36.5	0.0	10	124	14	120	7	124	0.84	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_144219404.1	-	142	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	4.4e-05	38.1	0.0	1	1	8.8e-11	6.8e-05	37.5	0.0	16	120	32	129	25	137	0.82	MULTISPECIES: hypothetical protein [Flavobacterium]	Flavobacterium
WP_079455238.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	4.5e-05	38.1	0.0	1	1	1.3e-10	0.0001	36.9	0.0	10	124	14	120	7	124	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_003116288.1	-	124	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	5.6e-05	37.8	0.0	1	1	1.6e-10	0.00013	36.6	0.0	10	124	12	118	5	122	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_230652042.1	-	169	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	5.6e-05	37.8	0.0	1	1	1.2e-10	9.1e-05	37.1	0.0	17	125	63	164	54	169	0.80	hypothetical protein [Chryseobacterium sp. LC2016-27]	Chryseobacterium sp. LC2016-27
WP_033942352.1	-	124	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	5.8e-05	37.7	0.0	1	1	1.7e-10	0.00013	36.6	0.0	10	124	12	118	5	122	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_004347833.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	5.9e-05	37.7	0.0	1	1	1.7e-10	0.00013	36.6	0.0	10	124	14	120	7	124	0.85	MULTISPECIES: hypothetical protein [Pseudomonas]	Pseudomonas
WP_079381195.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	6.1e-05	37.7	0.0	1	1	1.8e-10	0.00014	36.5	0.0	10	124	14	120	7	124	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_126853227.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	6.3e-05	37.6	0.0	1	1	1.5e-10	0.00011	36.8	0.0	10	124	14	120	7	124	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_134296093.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	6.5e-05	37.6	0.0	1	1	1.9e-10	0.00015	36.4	0.0	10	124	14	120	7	124	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_023098099.1	-	124	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	6.8e-05	37.5	0.0	1	1	1.9e-10	0.00015	36.4	0.0	10	124	12	118	5	122	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
WP_146817769.1	-	2064	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7e-05	37.5	25.2	1	7	6.1	4.7e+06	2.5	0.0	31	66	402	437	392	448	0.86	gliding motility-associated C-terminal domain-containing protein, partial [Chitinophaga terrae (ex Kim and Jung 2007)]	Chitinophaga terrae (ex Kim and Jung 2007)
WP_146817769.1	-	2064	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7e-05	37.5	25.2	2	7	2.4	1.8e+06	3.8	0.0	34	66	663	695	651	702	0.89	gliding motility-associated C-terminal domain-containing protein, partial [Chitinophaga terrae (ex Kim and Jung 2007)]	Chitinophaga terrae (ex Kim and Jung 2007)
WP_146817769.1	-	2064	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7e-05	37.5	25.2	3	7	0.14	1.1e+05	7.7	0.0	32	66	747	781	736	790	0.87	gliding motility-associated C-terminal domain-containing protein, partial [Chitinophaga terrae (ex Kim and Jung 2007)]	Chitinophaga terrae (ex Kim and Jung 2007)
WP_146817769.1	-	2064	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7e-05	37.5	25.2	4	7	0.59	4.5e+05	5.7	0.0	32	66	833	867	821	880	0.84	gliding motility-associated C-terminal domain-containing protein, partial [Chitinophaga terrae (ex Kim and Jung 2007)]	Chitinophaga terrae (ex Kim and Jung 2007)
WP_146817769.1	-	2064	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7e-05	37.5	25.2	5	7	5.8	4.5e+06	2.5	0.0	33	66	920	953	909	967	0.86	gliding motility-associated C-terminal domain-containing protein, partial [Chitinophaga terrae (ex Kim and Jung 2007)]	Chitinophaga terrae (ex Kim and Jung 2007)
WP_146817769.1	-	2064	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7e-05	37.5	25.2	6	7	0.69	5.3e+05	5.5	0.0	29	66	1002	1039	994	1049	0.88	gliding motility-associated C-terminal domain-containing protein, partial [Chitinophaga terrae (ex Kim and Jung 2007)]	Chitinophaga terrae (ex Kim and Jung 2007)
WP_146817769.1	-	2064	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7e-05	37.5	25.2	7	7	1.4	1.1e+06	4.5	0.0	33	66	1092	1125	1081	1134	0.87	gliding motility-associated C-terminal domain-containing protein, partial [Chitinophaga terrae (ex Kim and Jung 2007)]	Chitinophaga terrae (ex Kim and Jung 2007)
WP_078450990.1	-	126	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130	7.2e-05	37.4	0.0	1	1	2e-10	0.00016	36.3	0.0	10	124	14	120	7	124	0.85	hypothetical protein [Pseudomonas aeruginosa]	Pseudomonas aeruginosa
